age 1.3.1-1
vim 9.2.0849-1
virt-manager 5.1.0-4
visual-studio-code-bin 1.131.0-1
vulkan-radeon 1:26.1.6-1
wayscriber 0.9.22-1
wev 1.1.0-1
wf-recorder 0.6.0-1
wget 1.25.0-6
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clip-persist 0.5.0-2
wl-clipboard 1:2.3.0-1
wl-screenrec 0.2.0-2
wlprop 1:1.0-1
wlsunset 0.4.0-1
woff2-font-awesome 7.3.1-1
wofi 1.5.3-1
worktrunk-bin 0.71.0-1
xdg-desktop-portal-hyprland 1.4.1-1
xdg-utils 1.2.1-2
xdotool 4.20260303.1-1
xf86-video-amdgpu 25.0.0-1
xf86-video-ati 1:22.0.0-3
xorg-server 21.1.24-1
xorg-xev 1.2.7-1
xorg-xinit 1.4.4-1
yay 13.0.1-1
yay-debug 12.4.2-1
yazi 26.5.6-4
yq 4.1.2-1
zed 1.14.2-2
zen-browser-bin 1.21.10b-1
zip 3.0-13
zoom 7.1.5-1
zoxide 0.10.0-1
zram-generator 1.2.1-1
zsh 5.9.2-1
